,P_1,P_2,P_3,P_Z,P_I,P_P,Q_1,Q_2,Q_3,Q_Z,Q_I,Q_P
970,164163.94,196674.51,183169.24,0.297505083200906,0.179563028863176,0.522931887935918,14879.8461959009,19929.175956036,20681.3450008975,1.91164387902142,-4.09067652711732,3.1790326480959
975,158660.94,194370.75,182404.57,0.292404978353816,0.18463728387445,0.522957737771734,15933.7169831022,19765.3630179758,21838.2011243218,1.86625000722949,-3.91828834404473,3.05203833681523
980,170074.64,193457.38,212056.63,0.301986708617894,0.186853928436435,0.511159362945671,16754.6509945549,19356.7890183551,20602.3223141778,1.84001882872954,-3.84599343164339,3.00597460291384
985,188083.7,198604.08,214063.83,0.303557358599616,0.182377501815605,0.514065139584778,18362.111287053,20881.8140422241,22880.9247066971,1.79071345472733,-3.66858060308313,2.87786714835578
990,186569.7,209282.08,228405.83,0.31712091745053,0.188645538590196,0.494233543959274,17391.2413488513,18309.6994829854,22899.3892905306,1.7748947914723,-3.61255550795963,2.83766071648732
995,175486.46,216606.34,221124.79,0.321830580697854,0.187474936103709,0.490694483198438,19338.668198979,16892.6248037503,21024.8112312404,1.78080076669625,-3.64783917325997,2.86703840656371
1000,197174.96,214501.33,199724.78,0.322881169865572,0.194721030780829,0.4823977993536,20198.581697914,18051.9955695015,18560.7860668793,1.76034884562623,-3.60907646123349,2.84872761560725
1005,199240.46,198859.96,197121.78,0.318706481627053,0.208485426545003,0.472808091827945,19465.5601210899,17582.8089100578,18187.9128353803,1.68569352790259,-3.37250740254955,2.68681387464695
1010,223460.14,198996.88,215305.74,0.329404248145951,0.195771695109529,0.474824056744521,19379.0893152018,20511.6890150454,19160.1354452988,1.69751698522941,-3.38036371397797,2.68284672874855
1015,227193.14,202023.62,208941.34,0.329198520519992,0.210669965167617,0.460131514312393,20255.7720973436,20050.1047385623,17015.6668577641,1.68986744508329,-3.40524116906237,2.71537372397908
1020,221438.71,204597.19,197277.44,0.328261636401833,0.215496747327375,0.456241616270793,20280.4046632337,19504.4729628891,16459.134035195,1.66357392995269,-3.34115826791658,2.67758433796388
1025,211081.45,208777.74,205672.32,0.325162877730689,0.221323329908242,0.453513792361069,20234.0861785293,20223.1529258274,16124.5262312582,1.65773746989351,-3.31429875411711,2.65656128422359
1030,208948.97,199396.04,209102.36,0.330846907648211,0.227562464855062,0.441590627496726,19112.8081384079,19254.5923662558,14227.314759234,1.64324367856688,-3.29131952278157,2.64807584421468
1035,205968.57,208335.64,197878.47,0.323824446022821,0.239610652868384,0.436564901108795,18345.8959288993,17730.7060022479,12942.2159638927,1.68580231922046,-3.46704950574133,2.78124718652087
1040,211881.05,208678.73,213301.93,0.324728317091052,0.24148377405124,0.433787908857708,16900.7327340407,16191.6354961242,15871.2285367988,1.6895463210369,-3.45386454823125,2.76431822719435
1045,214385.95,212732.14,223931.93,0.322080585971036,0.244588569781256,0.433330844247709,17151.5457536144,16055.0764585791,19432.8946563591,1.66656436773954,-3.34812433154935,2.6815599638098
1050,195880.95,213585.37,232718.93,0.325073412104807,0.246101364924167,0.428825222971026,17011.1342591254,16032.9993700485,17989.4012469961,1.63884372493587,-3.30578443022029,2.66694070528442
